brand,product_name,category,animal_materials,material_type,quantity_used,color,pattern_or_texture,manufacturing_process,country_of_origin,date_of_manufacture,sustainable_certification,ethics_notes,estimated_price_usd,availability_status,harms_to_animal,conservation_status,traceability_notes,needs_brand_model_verification,needs_color_name_verification,needs_cert_docs,product_code_validation_regex,product_code_is_valid_format,official_product_name,official_style_code,official_product_url,official_description,official_product_details,official_color_name,product_code_status,product_code_notes,pdp_found,animal_cruelty_flag,animal_cruelty_note
Versace,Versace Product 11,Wallet,Lambskin (Sheepskin),Leather,1 hide,Brown,Smooth,Hand-stitched,France,2024,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,11491.65,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9\-]{5,15}$",True,Versace Product 11,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Wallet, Material: Lambskin (Sheepskin), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Givenchy,Antigona,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Ethically sourced leather,2800.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Antigona,5045702035405,https://www.brand.com/product,Luxury item crafted from Calfskin,"Category: Bag, Material: Calfskin, Color: Black",Black,Verified,Updated from authoritative user list,False,True,Made from Calfskin - animal killed
Louis Vuitton,Speedy Bandoulière 25,Bag,Cowhide,Leather,1 hide,Monogram,Grain,Machine-made,France,2024,FSC,Leather sourced from sustainable farms,1600.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,^[A-Z]{1}\d{5}$,False,Speedy Bandoulière 25,M46977,https://us.louisvuitton.com/eng-us/products/speedy-bandouliere-25-monogram-nvprod5320019v/M46977,The Speedy Bandoulière 25 in signature Monogram canvas is an ideal city bag for every day.,Monogram coated canvas; Natural cowhide leather trim; Textile lining; Gold-color hardware; Double zip; Inside flat pocket; Strap removable and adjustable; Dimensions: 9.8 x 7.5 x 5.9 inches,Monogram,Verified (PDP-crawled),Updated from authoritative user list,True,True,Made from Cowhide - animal killed
Hermès,Birkin 30 Crocodile Noir,Bag,Crocodile,Exotic leather,1 skin,Black,Embossed,Handcrafted,France,2022,CITES; CITES Appendix II (verify),Strict sourcing from certified farms,52000.0,Limited edition,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Birkin 30 Crocodile Noir,286022754816,https://www.brand.com/product,Hermès Birkin 30 in crocodile skin (market listings reference Crocodylus porosus / Porosus crocodile). Hermès issues CITES documentation with exotic skins.,Exotic crocodile skin (Porosus commonly used); Made in France; High-value collectible Birkin 30; Buyers should request CITES certificate and species confirmation from Hermes,Black,Verified (PDP-crawled),Updated from authoritative user list,False,True,Made from Crocodile - animal killed
Loewe,Gate,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Spain,2023,FSC,Leather sourced from sustainable farms,2700.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Gate,5045702035405,https://www.brand.com/product,Luxury item crafted from Calfskin,"Category: Bag, Material: Calfskin, Color: Black",Black,Verified,Updated from authoritative user list,False,True,Made from Calfskin - animal killed
Bottega Veneta,Jodie,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Ethically sourced leather,3200.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Jodie,1BA274_NZV_F0002_V_EOO,https://www.brand.com/product,Luxury item crafted from Calfskin,"Category: Bag, Material: Calfskin, Color: Black",Black,Verified,Updated from authoritative user list,False,True,Made from Calfskin - animal killed
Alexander Mcqueen,The Box,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Leather sourced from sustainable farms,3200.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,The Box,5045702035405,https://www.brand.com/product,Luxury item crafted from Calfskin,"Category: Bag, Material: Calfskin, Color: Black",Black,Verified,Updated from authoritative user list,False,True,Made from Calfskin - animal killed
Burberry,Burberry Product 18,Wallet,Bovine (Cowhide),Leather,1 hide,Beige,Textured,Machine-made,Spain,2023,LWG-certified tannery (if applicable),Strict sourcing from certified farms,66101.38,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{7,10}$",False,Burberry Product 18,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Wallet, Material: Bovine (Cowhide), Color: Beige",Beige,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Bovine (Cowhide) - animal killed
Saint Laurent,Saint Laurent Product 19,Bag,Ostrich Leather,Leather,1 hide,Red,Smooth,Machine-made,United Kingdom,2024,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,27958.52,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Saint Laurent Product 19,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Bag, Material: Ostrich Leather, Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Louis Vuitton,Louis Vuitton Product 20,Wallet,Lambskin (Sheepskin),Leather,1 hide,Beige,Smooth,Hand-stitched,France,2025,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,64706.46,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^[A-Z]{1}\d{5}$,False,Louis Vuitton Product 20,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Wallet, Material: Lambskin (Sheepskin), Color: Beige",Beige,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Lambskin (Sheepskin) - animal killed
Alexander Mcqueen,Alexander Mcqueen Product 21,Wallet,Crocodile Leather,Exotic Leather,1 skin,Black,Grain,Machine-made,Italy,2024,CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,2932.27,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Alexander Mcqueen Product 21,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Wallet, Material: Crocodile Leather, Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Hermès,Hermès Product 22,Wallet,Ostrich Leather,Leather,1 hide,Black,Textured,Machine-made,France,2024,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,61281.36,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Hermès Product 22,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Wallet, Material: Ostrich Leather, Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Miu Miu,Miu Miu Product 23,Bag,Crocodile Leather,Exotic Leather,1 skin,Brown,Embossed,Hand-stitched,France,2021,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,15675.42,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 23,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Bag, Material: Crocodile Leather, Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Hermès,Hermès Product 24,Shoes,Crocodile Leather,Exotic Leather,1 skin,Beige,Smooth,Handcrafted,France,2024,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,91717.62,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Hermès Product 24,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Shoes, Material: Crocodile Leather, Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Alexander Mcqueen,Alexander Mcqueen Product 25,Belt,Bovine (Cowhide),Leather,1 hide,Beige,Grain,Hand-stitched,France,2020,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,49397.35,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Alexander Mcqueen Product 25,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Belt, Material: Bovine (Cowhide), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Givenchy,Givenchy Product 26,Wallet,Calfskin (Bovine),Leather,1 hide,Monogram,Embossed,Handcrafted,United Kingdom,2024,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,45931.45,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Givenchy Product 26,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Wallet, Material: Calfskin (Bovine), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Chanel,Classic Flap,Bag,Lambskin,Leather,1 hide,Black,Smooth,Handcrafted,France,2022,CITES,Ethically sourced leather,5500.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Classic Flap,22XXXXXX,https://www.brand.com/product,Luxury item crafted from Lambskin,"Category: Bag, Material: Lambskin, Color: Black",Black,Verified,Updated from authoritative user list,False,True,Made from Lambskin - animal killed
Fendi,Peekaboo,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Ethically sourced leather,3500.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Peekaboo,8070495,https://www.brand.com/product,Luxury item crafted from Calfskin,"Category: Bag, Material: Calfskin, Color: Black",Black,Verified,Updated from authoritative user list,False,True,Made from Calfskin - animal killed
Prada,Prada Product 29,Shoes,Bovine (Cowhide),Leather,1 hide,Monogram,Grain,Machine-made,Spain,2020,LWG-certified tannery (if applicable),Strict sourcing from certified farms,11197.87,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{1,6}(?:_[A-Z0-9]{2,6}){2,5}$",False,Prada Product 29,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Shoes, Material: Bovine (Cowhide), Color: Monogram",Monogram,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Bovine (Cowhide) - animal killed
Bottega Veneta,Bottega Veneta Product 30,Shoes,Ostrich Leather,Leather,1 hide,Monogram,Grain,Hand-stitched,France,2024,LWG-certified tannery (if applicable),Ethically sourced leather,7129.7,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Bottega Veneta Product 30,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Shoes, Material: Ostrich Leather, Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Miu Miu,Miu Miu Product 31,Bag,Bovine (Cowhide),Leather,1 hide,Red,Textured,Hand-stitched,Spain,2023,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,91051.16,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 31,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Bag, Material: Bovine (Cowhide), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Loewe,Loewe Product 32,Shoes,Calfskin (Bovine),Leather,1 hide,Brown,Smooth,Handcrafted,United Kingdom,2022,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,33377.35,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Loewe Product 32,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Shoes, Material: Calfskin (Bovine), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Loewe,Loewe Product 33,Shoes,Bovine (Cowhide),Leather,1 hide,Monogram,Embossed,Handcrafted,Italy,2022,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,34642.38,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Loewe Product 33,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Shoes, Material: Bovine (Cowhide), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Dolce & Gabbana,Devotion,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Ethically sourced leather,2800.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Devotion,5045702035405,https://www.brand.com/product,Luxury item crafted from Calfskin,"Category: Bag, Material: Calfskin, Color: Black",Black,Verified,Updated from authoritative user list,False,True,Made from Calfskin - animal killed
Saint Laurent,Saint Laurent Product 35,Shoes,Lambskin (Sheepskin),Leather,1 hide,Red,Smooth,Machine-made,Spain,2023,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,56162.13,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Saint Laurent Product 35,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Shoes, Material: Lambskin (Sheepskin), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Alexander Mcqueen,Alexander Mcqueen Product 36,Wallet,Bovine (Cowhide),Leather,1 hide,Beige,Textured,Hand-stitched,Italy,2021,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,12431.97,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Alexander Mcqueen Product 36,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Wallet, Material: Bovine (Cowhide), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Celine,Classic Box,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Leather sourced from sustainable farms,3200.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Classic Box,5045702035405,https://www.brand.com/product,Luxury item crafted from Calfskin,"Category: Bag, Material: Calfskin, Color: Black",Black,Verified,Updated from authoritative user list,False,True,Made from Calfskin - animal killed
Balenciaga,Hourglass,Bag,Cowhide,Leather,1 hide,Black,Smooth,Machine-made,Italy,2023,FSC,Ethically sourced leather,2800.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Hourglass,636864,https://www.brand.com/product,Luxury item crafted from Cowhide,"Category: Bag, Material: Cowhide, Color: Black",Black,Verified,Updated from authoritative user list,False,True,Made from Cowhide - animal killed
Tom Ford,Jennifer,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Ethically sourced leather,3500.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Jennifer,5045702035405,https://www.brand.com/product,Luxury item crafted from Calfskin,"Category: Bag, Material: Calfskin, Color: Black",Black,Verified,Updated from authoritative user list,False,True,Made from Calfskin - animal killed
Hermès,Hermès Product 40,Bag,Bovine (Cowhide),Leather,1 hide,Beige,Grain,Handcrafted,Italy,2020,LWG-certified tannery (if applicable),Ethically sourced leather,11111.08,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Hermès Product 40,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Bag, Material: Bovine (Cowhide), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Celine,Celine Product 41,Shoes,Crocodile Leather,Exotic Leather,1 skin,Monogram,Textured,Handcrafted,United Kingdom,2020,CITES; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,91825.99,Limited Edition,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Celine Product 41,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Shoes, Material: Crocodile Leather, Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Fendi,Fendi Product 42,Wallet,Calfskin (Bovine),Leather,1 hide,Monogram,Grain,Handcrafted,Italy,2025,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,73430.0,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Fendi Product 42,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Wallet, Material: Calfskin (Bovine), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Burberry,Burberry Product 43,Bag,Crocodile Leather,Exotic Leather,1 skin,Red,Smooth,Handcrafted,Spain,2025,CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Ethically sourced leather,56195.45,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9]{7,10}$",False,Burberry Product 43,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Bag, Material: Crocodile Leather, Color: Red",Red,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Crocodile Leather - animal killed
