brand,product_code,product_name,category,animal_materials,material_type,quantity_used,color,pattern_or_texture,manufacturing_process,country_of_origin,date_of_manufacture,sustainable_certification,ethics_notes,estimated_price_usd,availability_status,harms_to_animal,conservation_status,traceability_notes,needs_brand_model_verification,needs_color_name_verification,needs_cert_docs,product_code_validation_regex,product_code_is_valid_format,official_product_name,official_style_code,official_product_url,official_description,official_product_details,official_color_name,product_code_status,product_code_notes,pdp_found
Versace,866625.0,Versace Product 11,Wallet,Lambskin (Sheepskin),Leather,1 hide,Brown,Smooth,Hand-stitched,France,2024,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,11491.65,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9\-]{5,15}$",True,,,,,,,,,False
Givenchy,5045702035405,Antigona,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Ethically sourced leather,2800.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Antigona,5045702035405,,,,,Verified,Updated from authoritative user list,False
Louis Vuitton,M46977,Speedy Bandoulière 25,Bag,Cowhide,Leather,1 hide,Monogram,Grain,Machine-made,France,2024,FSC,Leather sourced from sustainable farms,1600.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,^[A-Z]{1}\d{5}$,False,Speedy Bandoulière 25,M46977,https://us.louisvuitton.com/eng-us/products/speedy-bandouliere-25-monogram-nvprod5320019v/M46977,The Speedy Bandoulière 25 in signature Monogram canvas is an ideal city bag for every day.,Monogram coated canvas; Natural cowhide leather trim; Textile lining; Gold-color hardware; Double zip; Inside flat pocket; Strap removable and adjustable; Dimensions: 9.8 x 7.5 x 5.9 inches,,Verified (PDP-crawled),Updated from authoritative user list,True
Hermès,286022754816,Birkin 30 Crocodile Noir,Bag,Crocodile,Exotic leather,1 skin,Black,Embossed,Handcrafted,France,2022,CITES; CITES Appendix II (verify),Strict sourcing from certified farms,52000.0,Limited edition,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Birkin 30 Crocodile Noir,286022754816,,Hermès Birkin 30 in crocodile skin (market listings reference Crocodylus porosus / Porosus crocodile). Hermès issues CITES documentation with exotic skins.,Exotic crocodile skin (Porosus commonly used); Made in France; High-value collectible Birkin 30; Buyers should request CITES certificate and species confirmation from Hermes,,Verified (PDP-crawled),Updated from authoritative user list,False
Loewe,5045702035405,Gate,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Spain,2023,FSC,Leather sourced from sustainable farms,2700.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Gate,5045702035405,,,,,Verified,Updated from authoritative user list,False
Bottega Veneta,1BA274_NZV_F0002_V_EOO,Jodie,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Ethically sourced leather,3200.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Jodie,1BA274_NZV_F0002_V_EOO,,,,,Verified,Updated from authoritative user list,False
Alexander Mcqueen,5045702035405,The Box,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Leather sourced from sustainable farms,3200.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,The Box,5045702035405,,,,,Verified,Updated from authoritative user list,False
Burberry,,Burberry Product 18,Wallet,Bovine (Cowhide),Leather,1 hide,Beige,Textured,Machine-made,Spain,2023,LWG-certified tannery (if applicable),Strict sourcing from certified farms,66101.38,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{7,10}$",False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Saint Laurent,499700.0,Saint Laurent Product 19,Bag,Ostrich Leather,Leather,1 hide,Red,Smooth,Machine-made,United Kingdom,2024,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,27958.52,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Louis Vuitton,,Louis Vuitton Product 20,Wallet,Lambskin (Sheepskin),Leather,1 hide,Beige,Smooth,Hand-stitched,France,2025,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,64706.46,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^[A-Z]{1}\d{5}$,False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Alexander Mcqueen,895265.0,Alexander Mcqueen Product 21,Wallet,Crocodile Leather,Exotic Leather,1 skin,Black,Grain,Machine-made,Italy,2024,CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,2932.27,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Hermès,157110.0,Hermès Product 22,Wallet,Ostrich Leather,Leather,1 hide,Black,Textured,Machine-made,France,2024,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,61281.36,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Miu Miu,502455.0,Miu Miu Product 23,Bag,Crocodile Leather,Exotic Leather,1 skin,Brown,Embossed,Hand-stitched,France,2021,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,15675.42,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Hermès,505622.0,Hermès Product 24,Shoes,Crocodile Leather,Exotic Leather,1 skin,Beige,Smooth,Handcrafted,France,2024,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,91717.62,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Alexander Mcqueen,503051.0,Alexander Mcqueen Product 25,Belt,Bovine (Cowhide),Leather,1 hide,Beige,Grain,Hand-stitched,France,2020,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,49397.35,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Givenchy,579699.0,Givenchy Product 26,Wallet,Calfskin (Bovine),Leather,1 hide,Monogram,Embossed,Handcrafted,United Kingdom,2024,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,45931.45,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Chanel,22XXXXXX,Classic Flap,Bag,Lambskin,Leather,1 hide,Black,Smooth,Handcrafted,France,2022,CITES,Ethically sourced leather,5500.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Classic Flap,22XXXXXX,,,,,Verified,Updated from authoritative user list,False
Fendi,8070495,Peekaboo,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Ethically sourced leather,3500.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Peekaboo,8070495,,,,,Verified,Updated from authoritative user list,False
Prada,,Prada Product 29,Shoes,Bovine (Cowhide),Leather,1 hide,Monogram,Grain,Machine-made,Spain,2020,LWG-certified tannery (if applicable),Strict sourcing from certified farms,11197.87,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{1,6}(?:_[A-Z0-9]{2,6}){2,5}$",False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Bottega Veneta,822169.0,Bottega Veneta Product 30,Shoes,Ostrich Leather,Leather,1 hide,Monogram,Grain,Hand-stitched,France,2024,LWG-certified tannery (if applicable),Ethically sourced leather,7129.7,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Miu Miu,768108.0,Miu Miu Product 31,Bag,Bovine (Cowhide),Leather,1 hide,Red,Textured,Hand-stitched,Spain,2023,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,91051.16,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Loewe,398596.0,Loewe Product 32,Shoes,Calfskin (Bovine),Leather,1 hide,Brown,Smooth,Handcrafted,United Kingdom,2022,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,33377.35,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Loewe,801002.0,Loewe Product 33,Shoes,Bovine (Cowhide),Leather,1 hide,Monogram,Embossed,Handcrafted,Italy,2022,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,34642.38,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Dolce & Gabbana,5045702035405,Devotion,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Ethically sourced leather,2800.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Devotion,5045702035405,,,,,Verified,Updated from authoritative user list,False
Saint Laurent,271454.0,Saint Laurent Product 35,Shoes,Lambskin (Sheepskin),Leather,1 hide,Red,Smooth,Machine-made,Spain,2023,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,56162.13,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Alexander Mcqueen,427391.0,Alexander Mcqueen Product 36,Wallet,Bovine (Cowhide),Leather,1 hide,Beige,Textured,Hand-stitched,Italy,2021,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,12431.97,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Celine,5045702035405,Classic Box,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Leather sourced from sustainable farms,3200.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Classic Box,5045702035405,,,,,Verified,Updated from authoritative user list,False
Balenciaga,636864,Hourglass,Bag,Cowhide,Leather,1 hide,Black,Smooth,Machine-made,Italy,2023,FSC,Ethically sourced leather,2800.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Hourglass,636864,,,,,Verified,Updated from authoritative user list,False
Tom Ford,5045702035405,Jennifer,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Ethically sourced leather,3500.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Jennifer,5045702035405,,,,,Verified,Updated from authoritative user list,False
Hermès,171950.0,Hermès Product 40,Bag,Bovine (Cowhide),Leather,1 hide,Beige,Grain,Handcrafted,Italy,2020,LWG-certified tannery (if applicable),Ethically sourced leather,11111.08,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Celine,104357.0,Celine Product 41,Shoes,Crocodile Leather,Exotic Leather,1 skin,Monogram,Textured,Handcrafted,United Kingdom,2020,CITES; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,91825.99,Limited Edition,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Fendi,178642.0,Fendi Product 42,Wallet,Calfskin (Bovine),Leather,1 hide,Monogram,Grain,Handcrafted,Italy,2025,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,73430.0,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Burberry,,Burberry Product 43,Bag,Crocodile Leather,Exotic Leather,1 skin,Red,Smooth,Handcrafted,Spain,2025,CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Ethically sourced leather,56195.45,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9]{7,10}$",False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Fendi,115089.0,Fendi Product 44,Shoes,Crocodile Leather,Exotic Leather,1 skin,Monogram,Quilted,Hand-stitched,Spain,2020,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Ethically sourced leather,40091.05,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Valentino,543880.0,Valentino Product 45,Wallet,Ostrich Leather,Leather,1 hide,Monogram,Smooth,Machine-made,Spain,2021,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,43964.64,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9]{6,12}$",True,,,,,,,,,False
Chanel,154074.0,Chanel Product 46,Bag,Calfskin (Bovine),Leather,1 hide,Beige,Textured,Machine-made,United Kingdom,2024,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,2424.21,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Miu Miu,791831.0,Miu Miu Product 47,Bag,Calfskin (Bovine),Leather,1 hide,Monogram,Textured,Machine-made,France,2021,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,94575.63,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Miu Miu,427269.0,Miu Miu Product 48,Bag,Ostrich Leather,Leather,1 hide,Red,Quilted,Handcrafted,Spain,2021,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,67537.08,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Burberry,,Burberry Product 49,Bag,Crocodile Leather,Exotic Leather,1 skin,Beige,Embossed,Handcrafted,United Kingdom,2024,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,79437.53,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9]{7,10}$",False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Hermès,222427.0,Hermès Product 50,Shoes,Crocodile Leather,Exotic Leather,1 skin,Black,Smooth,Machine-made,Spain,2020,CITES; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,19815.65,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Miu Miu,310758.0,Miu Miu Product 51,Bag,Lambskin (Sheepskin),Leather,1 hide,Monogram,Quilted,Handcrafted,France,2025,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,43219.29,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Gucci,675797 10ODP 1060,Bamboo 1947 Small Bag,Bag,Cowhide,Leather,1 hide,Black,Smooth,Hand-stitched,Italy,2023,CITES,Ethically sourced leather,5400.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,^\d{6}\s[A-Z0-9]{5}\s\d{4}$,False,Bamboo 1947 Small Bag,675797 10ODP 1060,https://www.gucci.com/us/en/pr/women/gucci-bamboo-1947/gucci-bamboo-1947-small-bag-p-67579710ODP1060,"With its unique features such as the hand-curved bamboo handle, closure and a mirror in its own leather holder, Gucci Bamboo 1947 embodies the House’s signature style and artisanal excellence.","Black leather; Black bamboo hardware; Interchangeable black leather and green and red Web straps; Lining: leather; Inside: 1 zip pocket; 1 open pocket with mirror; Bamboo handles with 4.3"" drop; Weight: 2lbs; 8.3""W x 6""H x 2.75""D; Made in Italy",,Verified (PDP-crawled),Updated from authoritative user list,True
Louis Vuitton,,Louis Vuitton Product 53,Shoes,Ostrich Leather,Leather,1 hide,Black,Smooth,Machine-made,Spain,2020,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,37979.82,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,^[A-Z]{1}\d{5}$,False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Miu Miu,512171.0,Miu Miu Product 54,Bag,Lambskin (Sheepskin),Leather,1 hide,Monogram,Smooth,Hand-stitched,Italy,2023,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,58757.63,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Versace,571580.0,Versace Product 55,Wallet,Lambskin (Sheepskin),Leather,1 hide,Red,Embossed,Machine-made,Italy,2024,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,38127.92,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9\-]{5,15}$",True,,,,,,,,,False
Bottega Veneta,340266.0,Bottega Veneta Product 56,Bag,Calfskin (Bovine),Leather,1 hide,Beige,Embossed,Handcrafted,France,2025,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,22388.1,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
